id,title,content,pub_date,source_url,category
ec6aca41bd904330f0b74f1c9e4d680795729b0f69fcd20b0c7aa0ec1b53291a,ADHD medication abuse in schools is a 'wake-up call',"At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.",2023-04-25 17:44:36,https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,Others
ba43004abadba182df09698803f53203e125752a246da540b725a9b37907e37c,Apple CEO was presented with an original Macintosh. See his reaction,CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.,2023-04-18 09:17:25,https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,Others
b5b3943ee8f776cb6acdf3816b4e44b993d11bd7199395e943a83cc834fb60db,Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.",2023-04-18 20:29:46,https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,Others
e5a953ff2b1f5379b0a1ff59f35c61c38a3f6bf9a2ff52d0adcbe240337fa9ae,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials","• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow
• Putin visits Russian troops at military headquarters in Kherson
• Watch moment WSJ journalist appears in Russian court",2024-01-29 09:49:00.635122,https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,Others
bb2836b3ffc4210e18083e6fe0fc922aa0388cb9f14f3029da00229d3b646df1,Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.,2023-04-18 19:07:52,https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,Others
d576596a095b31bca2ea8113717d7d6d9db96799dca1d4052a72b0963dab1793,'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.,2023-04-18 03:24:56,https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,Others
a89b98ba00f3bae0062debe2fbf1a3fec1ab161505cf752726398717b3beb2ff,GOP prepared to block vote to replace Feinstein on Senate Judiciary,"Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.",2023-04-18 22:03:13,https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,Others
f056daff7f0f1018c79a1a3e7be4808d952e88f85413c566accfdb5e15d42c9e,Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,"",2023-04-18 17:33:17,https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,Others
384082d94fece98afdfd0c97c6e8df8a489ed3a02a794bc86cb99e687488adc7,McCarthy slams Biden in handling of US debt,House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.,2023-04-18 22:03:01,https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,Others
fd16171af8cdbc0db33ab22de4bfb4171165efb9f35bc4a57fb4ccadb972f93f,US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,"The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.",2023-04-19 08:35:33,https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,Others
3c8669275ea1ad63e596bd956d34d4c301f00c3b520da076c23d80724c7c5ab8,Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,"Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.",2023-04-18 09:41:42,https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,Others
3ddc63728f0ba71803dce64d29e8e2ead1f88c35946d6cb6eeddfbc3385bdfe5,FDA clears the way for additional bivalent boosters for certain vulnerable individuals,"The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.",2023-04-18 15:09:15,https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,Others
b316b6c4424ab3c3195cb84d238b137459d58c03773380db84cb2f1a83cf2dd5,Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,"Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.",2023-04-19 01:49:51,https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,Others
2446e8438bf23f6cd671c84a9e55fbc7082b97016b61769b01f7675fa0b6b023,Southwest says flights resumed after delays caused by 'tech issues',"• Delta Air Lines reports record bookings for summer travel
• Air France and Airbus acquitted in trial over 2009 plane crash",2023-04-18 17:15:29,https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,Others
5a81dde39a31c265196e17c01254c5ff9c8071091772c6c30a9c23579b9b0bd8,Damar Hamlin cleared to resume football activities after January cardiac arrest,"Buffalo Bills safety Damar Hamlin, who has been cleared to resume football activities, said Tuesday his cardiac arrest during an NFL game in January was caused by commotio cordis.",2023-04-18 22:11:37,https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,Others
0750aefe26ec3390f0351303b099850c859acbc18e64a94dcf7626bc812e9fd2,Pilot makes history after landing on top of a 56-story hotel,Polish pilot Lukasz Czepiela made history after landing a plane on a helipad at the top of a 56-story hotel in Dubai.,2023-03-19 11:22:30,https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,Others
